Experience,Salary
7.5,58692.33
19.0,101856.84
14.6,82821.76
12.0,71494.48
3.1,30007.39
3.1,33800.78
1.2,27496.81
17.3,99485.61
12.0,74718.09
14.2,72984.8
0.4,28220.42
19.4,100674.59
16.6,88015.39
4.2,44858.38
3.6,44555.0
3.7,44456.4
6.1,45203.91
10.5,65453.94
8.6,61056.32
5.8,53077.73
12.2,71404.13
2.8,35271.71
5.8,42668.33
7.3,48218.97
9.1,65462.63
15.7,94581.2
4.0,40639.95
10.3,71217.66
11.8,74008.18
0.9,25374.4
12.2,75606.98
3.4,46290.18
1.3,30020.87
19.0,108823.22
19.3,89101.27
16.2,93909.51
6.1,49835.24
2.0,31504.96
13.7,80258.8
8.8,50262.16
2.4,33501.64
9.9,66385.56
0.7,35189.47
18.2,95208.65
5.2,41757.53
13.3,75691.21
6.2,54377.01
10.4,68243.76
10.9,65951.2
3.7,42366.34
